epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.0815,1.46068,2.60518,3.98949,0.00551,6.6476,0.32282,0.16011,0.05566,0.03888,0.32062,0.15622,0.05388,0.03688,1.09307,2.51192,3.4839,0.00854,0,0.0002,0.0002,0.0002
2,42.5592,1.16577,1.82423,2.98165,0.00383,5.37667,0.15457,0.39419,0.14135,0.09871,0.15432,0.39061,0.13824,0.09554,1.08565,2.07086,3.60846,0.00819,0,0.000407294,0.000407294,0.000407294
3,59.2937,1.19344,1.7582,2.28549,0.00386,4.38385,0.17485,0.42622,0.17759,0.12831,0.17929,0.41989,0.17803,0.12282,0.97531,1.70979,2.96921,0.00774,0,0.000611816,0.000611816,0.000611816
4,75.5117,1.14441,1.77364,2.08852,0.004,3.8436,0.28272,0.36085,0.22309,0.15821,0.28276,0.35968,0.22422,0.164,1.10899,1.7769,2.84584,0.00883,0,0.000813566,0.000813566,0.000813566
5,91.951,1.21907,1.78859,1.97009,0.00434,3.42774,0.29914,0.41203,0.24081,0.17775,0.29832,0.4067,0.23905,0.17083,0.99623,1.83303,2.73724,0.00788,0,0.0009736,0.0009736,0.0009736
6,108.287,1.20966,1.80416,1.87227,0.00431,3.1836,0.36085,0.37418,0.25693,0.18441,0.36015,0.37907,0.25854,0.18192,1.05194,1.70211,2.69052,0.00846,0,0.000967,0.000967,0.000967
7,124.81,1.15106,1.6425,1.79269,0.004,3.12149,0.34397,0.4007,0.29703,0.22199,0.34777,0.38379,0.29471,0.21989,0.98632,1.47665,2.49163,0.00787,0,0.0009604,0.0009604,0.0009604
8,141.72,1.12817,1.5362,1.73223,0.00388,2.87832,0.30179,0.35777,0.28579,0.2198,0.30333,0.36248,0.29008,0.21515,0.90475,1.44718,2.29793,0.00724,0,0.0009538,0.0009538,0.0009538
9,158.112,1.1103,1.51116,1.69939,0.00396,2.88274,0.31054,0.35938,0.27464,0.20844,0.30953,0.3577,0.27535,0.21158,1.01996,1.48759,2.75829,0.00806,0,0.0009472,0.0009472,0.0009472
10,175.186,1.11942,1.5092,1.62275,0.00373,2.6102,0.35635,0.43551,0.31979,0.24117,0.35528,0.43103,0.32004,0.24316,0.97558,1.42631,2.07297,0.00757,0,0.0009406,0.0009406,0.0009406
11,191.808,1.12418,1.56059,1.59034,0.00399,2.608,0.38309,0.4629,0.36374,0.27453,0.3921,0.46736,0.37182,0.27296,0.93218,1.37917,1.69693,0.00724,0,0.000934,0.000934,0.000934
12,208.507,1.0869,1.48457,1.54122,0.00362,2.40472,0.40712,0.46413,0.38497,0.2848,0.40186,0.46497,0.38513,0.28151,0.9114,1.36653,1.80573,0.00696,0,0.0009274,0.0009274,0.0009274
13,225.072,1.07507,1.4226,1.47728,0.00368,2.3926,0.40048,0.46314,0.392,0.27938,0.38718,0.46392,0.39417,0.29764,1.02108,1.4234,2.02695,0.00792,0,0.0009208,0.0009208,0.0009208
14,241.201,1.10478,1.44537,1.48389,0.0038,2.27092,0.41746,0.46258,0.34987,0.26888,0.41404,0.46679,0.34874,0.25701,0.89585,1.48677,2.91251,0.00672,0,0.0009142,0.0009142,0.0009142
15,258.275,1.08383,1.41693,1.45938,0.00357,2.22974,0.44824,0.47467,0.40188,0.30286,0.44643,0.47176,0.40197,0.29707,0.94272,1.41523,1.97373,0.00718,0,0.0009076,0.0009076,0.0009076
16,275.253,1.06887,1.39749,1.42974,0.00348,2.3009,0.41639,0.41238,0.33272,0.25082,0.40698,0.42009,0.33283,0.24351,0.93174,1.39412,2.08107,0.00716,0,0.000901,0.000901,0.000901
17,291.433,1.03993,1.36149,1.40594,0.00367,2.12988,0.40798,0.40547,0.34783,0.26895,0.41683,0.41097,0.35442,0.26671,0.87574,1.36118,2.05435,0.00684,0,0.0008944,0.0008944,0.0008944
18,307.872,1.03352,1.33332,1.32372,0.00353,2.08065,0.52018,0.42377,0.43192,0.33941,0.51916,0.4223,0.43131,0.32061,0.88668,1.35352,1.83262,0.00672,0,0.0008878,0.0008878,0.0008878
